id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
291,线路画像-动态风险-驾驶不良行为-路口大油门,3,292,4,线路画像,,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
292,线路画像-动态风险-驾驶不良行为-进站违规制动,3,293,4,线路画像,,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
293,线路画像-动态风险-驾驶不良行为-区间超速,3,294,4,线路画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
294,线路画像-动态风险-驾驶不良行为-全局超速,3,295,4,线路画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
295,线路画像-动态风险-驾驶不良行为-左转弯未刹车,3,296,4,线路画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
296,线路画像-动态风险-驾驶不良行为-右转弯未刹车,3,297,4,线路画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
297,站场画像-交通安全-划定区域-人车分流,3,298,4,站场画像,,建立人车分流指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
298,站场画像-交通安全-划定区域-人车流量,3,299,4,站场画像,,建立人车流量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
299,站场画像-交通安全-划定区域-警示标志,3,300,4,站场画像,,建立警示标志指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
300,站场画像-交通安全-划定区域-安保,3,301,4,站场画像,,建立安保指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
301,站场画像-交通安全-划定区域-出入口,3,302,4,站场画像,,建立出入口指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
302,站场画像-交通安全-划定区域-线路车辆数量,3,303,4,站场画像,,建立线路车辆数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
303,站场画像-交通安全-划定区域-夜间灯光,3,304,4,站场画像,,夜间灯光亮度不达标路段加装照明设备，定期检查车辆灯光，确保合格。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
304,站场画像-交通安全-划定区域-视觉盲区,3,305,4,站场画像,,建立视觉盲区指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
305,站场画像-交通安全-路边区域-人车流量,3,306,4,站场画像,,建立人车流量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
306,站场画像-交通安全-路边区域-线路车辆数量,3,307,4,站场画像,,建立线路车辆数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
307,站场画像-交通安全-路边区域-夜间灯光,3,308,4,站场画像,,夜间灯光亮度不达标路段加装照明设备，定期检查车辆灯光，确保合格。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
308,站场画像-交通安全-路边区域-视觉盲区,3,309,4,站场画像,,建立视觉盲区指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕98号 广州巴士集团有限公司关于印发交通安全管理规定的通知》
309,站场画像-三防安全-场站地势,2,310,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕59号 广州巴士集团有限公司关于印发防汛防旱防风防冻应急预案的通知》
310,站场画像-三防安全-临水临崖,2,311,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕59号 广州巴士集团有限公司关于印发防汛防旱防风防冻应急预案的通知》
311,站场画像-三防安全-场地设施,2,312,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕59号 广州巴士集团有限公司关于印发防汛防旱防风防冻应急预案的通知》
312,站场画像-三防安全-应急设施设备,2,313,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕59号 广州巴士集团有限公司关于印发防汛防旱防风防冻应急预案的通知》
313,站场画像-三防安全-监控设备,2,314,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕59号 广州巴士集团有限公司关于印发防汛防旱防风防冻应急预案的通知》
314,站场画像-消防安全-充电车数,2,315,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕41号 广州巴士集团有限公司关于印发消防安全管理规定的通知》
315,站场画像-消防安全-风险隐患,2,316,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕41号 广州巴士集团有限公司关于印发消防安全管理规定的通知》
316,站场画像-消防安全-消防水源,2,317,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕41号 广州巴士集团有限公司关于印发消防安全管理规定的通知》
317,站场画像-消防安全-消防设备,2,318,4,站场画像,,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕41号 广州巴士集团有限公司关于印发消防安全管理规定的通知》
318,单位画像-驾驶员风险-事故风险-体温,3,319,4,单位画像,,定期组织驾驶员体温监测，异常人员暂停上岗并跟踪处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
319,单位画像-驾驶员风险-事故风险-收缩压,3,320,4,单位画像,,建立驾驶员血压监测机制，对异常人员实施限岗或健康干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
320,单位画像-驾驶员风险-事故风险-舒张压,3,321,4,单位画像,,建立驾驶员血压监测机制，对异常人员实施限岗或健康干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
321,单位画像-驾驶员风险-事故风险-脉搏,3,322,4,单位画像,,对脉搏异常驾驶员启动健康评估，必要时暂停其运营任务。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
322,单位画像-驾驶员风险-事故风险-血氧,3,323,4,单位画像,,加强驾驶员血氧监测，异常情况及时干预并调整排班。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
323,单位画像-驾驶员风险-事故风险-心率,3,324,4,单位画像,,对心率异常驾驶员启动健康评估，必要时暂停其运营任务。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
324,单位画像-驾驶员风险-事故风险-酒精浓度,3,325,4,单位画像,,严格执行酒精检测制度，异常结果自动触发停岗与复核流程。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
325,单位画像-驾驶员风险-事故风险-心理测评等级,3,326,4,单位画像,,针对心理测评等级建立监测与预警机制，发现异常及时处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
326,单位画像-驾驶员风险-事故风险-年龄,3,327,4,单位画像,,按年龄分层管理驾驶员，对高风险群体（如年龄超55岁/驾龄不足2年）加强培训和跟车监督,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
327,单位画像-驾驶员风险-事故风险-性别,3,328,4,单位画像,,针对-建立监测与预警机制，发现异常及时处置。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
328,单位画像-驾驶员风险-事故风险-教育水平,3,329,4,单位画像,,按教育水平分层开展安全培训，针对低学历驾驶员增加实操教学时长。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
329,单位画像-驾驶员风险-事故风险-驾龄,3,330,4,单位画像,,对驾龄<2年驾驶员实施跟车带教，驾龄>15年驾驶员定期开展反应速度测试。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
330,单位画像-驾驶员风险-事故风险-历史行驶总里程,3,331,4,单位画像,,月行驶总里程超8000公里的驾驶员，强制安排每月1次休息调整，避免负荷过载。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
331,单位画像-驾驶员风险-事故风险-历史安全行驶里程,3,332,4,单位画像,,将累计安全行驶里程纳入驾驶员评优，激励长期保持安全驾驶习惯。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
332,单位画像-驾驶员风险-事故风险-日工时,3,333,4,单位画像,,设置日工时上限（不超10小时），超限时自动触发排班调整，防止疲劳驾驶。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
333,单位画像-驾驶员风险-事故风险-历史事故率,3,334,4,单位画像,,建立历史事故率指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
334,单位画像-驾驶员风险-事故风险-闯红灯,3,335,4,单位画像,,在高频闯红灯路口加装监控，发现违规立即推送警示，月度统计并干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
335,单位画像-驾驶员风险-事故风险-闯黄灯,3,336,4,单位画像,,在高频闯黄灯路口加装监控，发现违规立即推送警示，月度统计并干预。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
336,单位画像-驾驶员风险-事故风险-违法交通标志标线,3,337,4,单位画像,,建立违法交通标志标线指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
337,单位画像-驾驶员风险-事故风险-视频抽检违规率,3,338,4,单位画像,,建立视频抽检违规率指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
338,单位画像-驾驶员风险-事故风险-起步急加速,3,339,4,单位画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
339,单位画像-驾驶员风险-事故风险-急加速,3,340,4,单位画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
340,单位画像-驾驶员风险-事故风险-急减速,3,341,4,单位画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
341,单位画像-驾驶员风险-事故风险-急刹车,3,342,4,单位画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
342,单位画像-驾驶员风险-事故风险-斑马线不文明礼让,3,343,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
343,单位画像-驾驶员风险-事故风险-斑马线超速,3,344,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
344,单位画像-驾驶员风险-事故风险-违规使用手刹,3,345,4,单位画像,,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
345,单位画像-驾驶员风险-事故风险-停站N档违规,3,346,4,单位画像,,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
346,单位画像-驾驶员风险-事故风险-违规使用N档,3,347,4,单位画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
347,单位画像-驾驶员风险-事故风险-不规范转弯,3,348,4,单位画像,,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
348,单位画像-驾驶员风险-事故风险-车辆未停稳开车门,3,349,4,单位画像,,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
349,单位画像-驾驶员风险-事故风险-车辆起步不关车门,3,350,4,单位画像,,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
350,单位画像-驾驶员风险-事故风险-空档滑行,3,351,4,单位画像,,通过车载监控抓拍空档滑行行为，对违规者开展制动安全培训，考核合格再上岗。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
351,单位画像-驾驶员风险-事故风险-熄火滑行,3,352,4,单位画像,,建立熄火滑行指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
352,单位画像-驾驶员风险-事故风险-不文明鸣笛,3,353,4,单位画像,,建立不文明鸣笛指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
353,单位画像-驾驶员风险-事故风险-安全带行为,3,354,4,单位画像,,建立安全带行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
354,单位画像-驾驶员风险-事故风险-不规范进站,3,355,4,单位画像,,建立不规范进站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
355,单位画像-驾驶员风险-事故风险-不规范出站,3,356,4,单位画像,,建立不规范出站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
356,单位画像-驾驶员风险-事故风险-急停,3,357,4,单位画像,,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
357,单位画像-驾驶员风险-事故风险-门开禁启开关,3,358,4,单位画像,,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
358,单位画像-驾驶员风险-事故风险-停车不挂N档,3,359,4,单位画像,,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
359,单位画像-驾驶员风险-事故风险-不规范开关门,3,360,4,单位画像,,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
360,单位画像-驾驶员风险-事故风险-安全启动,3,361,4,单位画像,,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
361,单位画像-驾驶员风险-事故风险-违规使用空调,3,362,4,单位画像,,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
362,单位画像-驾驶员风险-事故风险-平路不规范行为,3,363,4,单位画像,,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
363,单位画像-驾驶员风险-事故风险-上坡不规范行为,3,364,4,单位画像,,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
364,单位画像-驾驶员风险-事故风险-下坡不规范行为,3,365,4,单位画像,,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
365,单位画像-驾驶员风险-事故风险-违规使用总电,3,366,4,单位画像,,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
366,单位画像-驾驶员风险-事故风险-路口大油门,3,367,4,单位画像,,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
367,单位画像-驾驶员风险-事故风险-进站违规制动,3,368,4,单位画像,,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
368,单位画像-驾驶员风险-事故风险-区间超速,3,369,4,单位画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
369,单位画像-驾驶员风险-事故风险-全局超速,3,370,4,单位画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
370,单位画像-驾驶员风险-事故风险-左转弯未刹车,3,371,4,单位画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
371,单位画像-驾驶员风险-事故风险-右转弯未刹车,3,372,4,单位画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
372,单位画像-驾驶员风险-事故风险-车距过近,3,373,4,单位画像,,建立车距过近指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
373,单位画像-驾驶员风险-事故风险-车道保持能力下降,3,374,4,单位画像,,建立车道保持能力下降指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
374,单位画像-驾驶员风险-事故风险-分神,3,375,4,单位画像,,建立分神指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
375,单位画像-驾驶员风险-事故风险-行人避让预警,3,376,4,单位画像,,建立行人避让预警指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
376,单位画像-驾驶员风险-事故风险-前车碰撞预警,3,377,4,单位画像,,建立前车碰撞预警指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
377,单位画像-驾驶员风险-事故风险-未系安全带,3,378,4,单位画像,,建立未系安全带指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
378,单位画像-驾驶员风险-事故风险-打电话,3,379,4,单位画像,,建立打电话指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
379,单位画像-驾驶员风险-事故风险-手长时间离开方向盘(吸烟),3,380,4,单位画像,,建立手长时间离开方向盘(吸烟)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
380,单位画像-驾驶员风险-事故风险-严重疲劳驾驶识别,3,381,4,单位画像,,建立严重疲劳驾驶识别指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
381,单位画像-驾驶员风险-事故风险-握方向盘不规范,3,382,4,单位画像,,建立握方向盘不规范指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
382,单位画像-驾驶员风险-事故风险-驾驶姿势不端正,3,383,4,单位画像,,建立驾驶姿势不端正指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
383,单位画像-驾驶员风险-服务态度-车辆技术投诉次数,3,384,4,单位画像,,建立车辆技术指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
384,单位画像-驾驶员风险-服务态度-安全管理投诉次数,3,385,4,单位画像,,建立安全管理指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
385,单位画像-驾驶员风险-服务态度-服务质量投诉次数,3,386,4,单位画像,,建立服务质量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
386,单位画像-驾驶员风险-安全评价-安全启动,3,387,4,单位画像,,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
387,单位画像-驾驶员风险-安全评价-违规使用N档,3,388,4,单位画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
388,单位画像-驾驶员风险-安全评价-全局超速,3,389,4,单位画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
389,单位画像-驾驶员风险-安全评价-斑马线超速、,3,390,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
390,单位画像-驾驶员风险-安全评价-斑马线不文明礼让,3,391,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
391,单位画像-驾驶员风险-安全评价-区间超速,3,392,4,单位画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
392,单位画像-驾驶员风险-安全评价-右转弯未刹车,3,393,4,单位画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
393,单位画像-驾驶员风险-安全评价-左转弯未刹车,3,394,4,单位画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
394,单位画像-驾驶员风险-能耗风险-起步急加速,3,395,4,单位画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
395,单位画像-驾驶员风险-能耗风险-急加速,3,396,4,单位画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
396,单位画像-驾驶员风险-能耗风险-急减速,3,397,4,单位画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
397,单位画像-驾驶员风险-能耗风险-急刹车,3,398,4,单位画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
398,单位画像-驾驶员风险-能耗风险-斑马线不文明礼让,3,399,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
399,单位画像-驾驶员风险-能耗风险-斑马线超速,3,400,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
400,单位画像-驾驶员风险-能耗风险-违规使用手刹,3,401,4,单位画像,,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
401,单位画像-驾驶员风险-能耗风险-停站N档违规,3,402,4,单位画像,,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
402,单位画像-驾驶员风险-能耗风险-违规使用N档,3,403,4,单位画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
403,单位画像-驾驶员风险-能耗风险-不规范转弯,3,404,4,单位画像,,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
404,单位画像-驾驶员风险-能耗风险-车辆未停稳开车门,3,405,4,单位画像,,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
